iter	MultiClass
0	1.775058128
1	1.535228968
2	1.35946899
3	1.21358538
4	1.10002025
5	1.001278367
6	0.9231666706
7	0.8570782208
8	0.798186277
9	0.7422435151
10	0.6882387003
11	0.6456856668
12	0.6060712631
13	0.5705949794
14	0.5410043174
15	0.5109223909
16	0.4859770411
17	0.4639076799
18	0.4449746253
19	0.4248710593
20	0.4055004368
21	0.3880029427
22	0.3716245683
23	0.3575972192
24	0.3436723083
25	0.330214171
26	0.3177921497
27	0.3057839808
28	0.294351283
29	0.2851882784
30	0.2763647392
31	0.2695166371
32	0.2605957242
33	0.2534609766
34	0.2454075215
35	0.2374814322
36	0.2327489284
37	0.2271265794
38	0.2228939363
39	0.218501545
40	0.213508524
41	0.2091442077
42	0.2046970678
43	0.2019587454
44	0.1973154281
45	0.1926671673
46	0.189340403
47	0.1857340195
48	0.1828576851
49	0.1795279574
50	0.1765326484
51	0.1738173
52	0.1712868787
53	0.1688129656
54	0.166277371
55	0.1630636535
56	0.1615038508
57	0.1594386989
58	0.15741819
59	0.1558452332
60	0.1536247811
61	0.151989512
62	0.1497988954
63	0.1475444515
64	0.145886398
65	0.1450217477
66	0.1426402622
67	0.141934221
68	0.1401934229
69	0.1386690244
70	0.1376846631
71	0.1362324278
72	0.1349048657
73	0.1326092967
74	0.1306658341
75	0.1294988627
76	0.1279502461
77	0.1255205101
78	0.1233705663
