iter	Passed	Remaining
0	237	237744
1	414	206714
2	595	197738
3	731	182143
4	862	171656
5	993	164523
6	1126	159823
7	1303	161692
8	1465	161414
9	1641	162461
10	1807	162539
11	1984	163415
12	2159	163921
13	2306	162408
14	2462	161690
15	2616	160941
16	2763	159793
17	2910	158764
18	3047	157337
19	3177	155698
20	3311	154357
21	3450	153378
22	3595	152727
23	3728	151640
24	3871	150975
25	4008	150160
26	4134	148981
27	4265	148070
28	4393	147112
29	4530	146481
30	4664	145799
31	4811	145542
32	4939	144733
33	5080	144342
34	5235	144350
35	5377	143986
36	5501	143180
37	5627	142460
38	5752	141737
39	5879	141097
40	6004	140458
41	6134	139924
42	6267	139478
43	6404	139143
44	6540	138814
45	6668	138290
46	6805	137987
47	6946	137768
48	7079	137391
49	7220	137183
50	7380	137331
51	7541	137482
52	7708	137738
53	7842	137397
54	7965	136861
55	8091	136397
56	8211	135857
57	8335	135377
58	8463	134985
59	8590	134589
60	8714	134149
61	8834	133662
62	8958	133246
63	9083	132853
64	9206	132437
65	9340	132184
66	9485	132093
67	9621	131877
68	9763	131733
69	9898	131513
70	10039	131364
71	10177	131182
72	10325	131124
73	10471	131040
74	10619	130977
75	10756	130773
76	10881	130435
77	11011	130160
78	11139	129862
